sub	run	valence	rt_valence	arousal	rt_arousal	stimulus
SRM003	2	4	3.649541	3	3.2319107	B7_video.avi
SRM003	2	3	1.2514543	3	0.3992428	A1_video.avi
SRM003	2	2	0.5694868	2	0.3489798	C9_video.avi
SRM003	2	2	0.7314892	3	2.3528685	D21_video.avi
SRM003	2	1	0.4676617	1	0.3925911	C10_video.avi
SRM003	2	1	0.5802172	2	0.5830146	C1_video.avi
SRM003	2	1	0.7535263	2	0.6485251	C18_video.avi
SRM003	2	3	0.6278664	3	0.9462765	B17_video.avi
SRM003	2	3	1.3077046	3	1.6570852	B6_video.avi
SRM003	2	4	0.8627615	4	1.1495728	A9_video.avi
SRM003	2	3	0.6664833	3	3.8073321	C17_video.avi
SRM003	2	4	0.6457919	4	0.5248502	A10_video.avi
SRM003	2	3	1.8129828	2	2.542044	B10_video.avi
SRM003	2	3	0.8154201	3	0.9271356	A22_video.avi
SRM003	2	4	0.5949228	4	0.436227	A24_video.avi
SRM003	2	1	0.7965188	3	0.6655424	C8_video.avi
SRM003	2	1	2.963705	1	1.3323184	C13_video.avi
SRM003	2	3	0.5068205	3	0.6485044	B12_video.avi
SRM003	2	2	1.7199244	3	0.6468021	D26_video.avi
SRM003	2	3	0.7808009	3	0.6231776	A16_video.avi
